bm25_time_ms,confidence,config_hash,context_filled,deduped,fallback_used,filter_in,filter_out,filter_pass_rate,gen_time_ms,gold,hard_blocked,id,k_total,key_tokens,merged,model_name,neighbor_added,no_answer,numeric_preservation,overlap_ratio,pred,question,rerank_time_ms,score,snippet_warn_count,sources,total_time_ms,vector_time_ms
13,0.7339852879272322,efeba260aa17,1,74,none,74,0,1.0,3774,"고산 정수장 시스템 사용자 설명서의 발주기관은 한국수자원공사이며, 사업명은 금강 유역 남부 스마트 정수장 확대 구축 용역입니다.",0,1,7,"['고산', '정수장', '시스템', '사용자', '설명서의', '발주기관과', '사업명은', '무엇인가요']",74,llama3:8b-instruct-q4_K_M,0,0,1.0,0.47058823529411764,"고산 정수장 시스템 사용자 설명서의 발주기관은 한국수자원공사이고, 사업명은 금강 유역남부 스마트 정수장 확대 구축 용역입니다.",고산 정수장 시스템 사용자 설명서의 발주기관과 사업명은 무엇인가요?,6,1.0,53,7,4313,39
14,0.6085036875091631,efeba260aa17,1,89,none,89,0,1.0,7125,"이 시스템 사용자 설명서는 2025년 2월 17일에 발행되었고, (주)에셈블 컨소시엄에서 작성했습니다.",0,2,7,"['시스템', '사용자', '설명서의', '발행일은', '언제이며', '어떤', '컨소시엄에서', '작성했나요']",90,llama3:8b-instruct-q4_K_M,0,0,1.0,0.3076923076923077,"문서 QA 시스템입니다. 질문에 대한 답변이 필요합니다.

이 시스템 사용자 설명서는 2023년 11월 21일에 발행되었으며, 에셈블 컨소시엄에서 작성되었습니다.","이 시스템 사용자 설명서의 발행일은 언제이며, 어떤 컨소시엄에서 작성했나요?",10,1.0,44,7,8314,33
14,0.7358444944209175,efeba260aa17,1,90,none,90,0,1.0,7356,고산 정수장에 대한 단계별 시운전 및 성능 검증 시험 운전 완료에 따라 지사 중심의 AI 자율 운영과 전 공정 선택적 자율 운영 등 시스템의 활용성 강화 및 안정적인 운영을 위한 전반적인 정보를 제공하는 것입니다.,0,3,7,"['시스템', '사용자', '설명서의', '주요', '목적은', '무엇인가요']",90,llama3:8b-instruct-q4_K_M,0,0,1.0,0.4533333333333333,이 시스템 사용자 설명서는 금강 유역남부스마트 정수장 확대 구축 용역에 사용되는 시스템을 운영하고 관리하는 데 필요한 정보를 제공하는 문서입니다.,이 시스템 사용자 설명서의 주요 목적은 무엇인가요?,11,0.4347826086956522,86,7,8497,33
14,0.7617318588047153,efeba260aa17,1,72,none,72,0,1.0,11321,AI 플랫폼 대시보드 주소는 http://waio-portal-vip:10011 또는 http://10.103.11.112:10011 입니다.,0,4,7,"['ai', '플랫폼', '대시보드에', '접속하기', '위한', '주소', 'url', '무엇인가요']",73,llama3:8b-instruct-q4_K_M,0,0,1.0,0.43434343434343436,"planta 2.1.1.에서 확인할 수 있습니다. AI 플랫폼 대시보드에 접속하기 위한 주소는 다음과 같습니다.

http://waio-portal-vip:10011

또한, 웹 VIP를 사용하여 접속할 수도 있습니다.

http://10.103.11.112:10011

(http://10.103.11.113:10011)

http://10.103.11.114:10011",AI 플랫폼 대시보드에 접속하기 위한 주소(URL)는 무엇인가요?,12,1.0,98,7,12172,36
14,0.8179932153264584,efeba260aa17,1,64,none,64,5,0.921875,6529,기본 관리자 계정의 아이디와 비밀번호는 모두 KWATER입니다.,0,5,8,"['ai', '플랫폼에', '로그인할', '사용할', '있는', '기본', '관리자', '계정의', '아이디와', '비밀번호는', '무엇인가요']",65,llama3:8b-instruct-q4_K_M,0,0,1.0,0.5850340136054422,"문서에서 해당 정보를 확인할 수 없습니다. 

(이 문서에는 AI 플랫폼에 대한 로그인 정보가 없습니다.)",AI 플랫폼에 로그인할 때 사용할 수 있는 기본 관리자 계정의 아이디와 비밀번호는 무엇인가요?,12,0.0,70,8,7205,36
12,0.7139226060099191,efeba260aa17,1,72,none,72,6,0.9166666666666666,8896,"자율 운영 대시보드는 상단 영역, 좌측 사이드바 영역, 중앙 콘텐츠 영역, 우측 메뉴 영역의 4가지 영역으로 구성됩니다.",0,6,8,"['ai', '플랫폼의', '자율', '운영', '대시보드는', '크게', '가지', '영역으로', '나누어지나요']",73,llama3:8b-instruct-q4_K_M,0,0,1.0,0.6216216216216216,"대시보드는 크게 4가지 영역으로 나누어져 있습니다. 

1. 상단 영역
2. 좌측 사이드바 영역
3. 중앙 콘텐츠 영역
4. 우측 메뉴 영역",AI 플랫폼의 자율 운영 대시보드는 크게 몇 가지 영역으로 나누어지나요?,11,1.0,91,8,9794,34
13,0.6772220402964158,efeba260aa17,1,68,none,68,6,0.9117647058823529,10496,"정수 수요량과 정수지 수위를 참고하여 목표 수위를 결정하고, 원수 유입 밸브 개도율을 예측하는 데 활용됩니다.",0,7,9,"['착수', '공정에서', 'ai', '모델은', '어떤', '목표', '수위를', '결정하고', '원수', '유입', '밸브', '개도율을', '예측하기', '위해', '활용되나요']",70,llama3:8b-instruct-q4_K_M,0,0,1.0,0.4909090909090909,"착수 공정에서 AI 모델은 정수지 수위밴드를 생성하고, 이를 통해 목표 수위 결정 및 원수 유입 밸브 개도율 예측을 수행합니다. AI 모델은 전처리된 데이터를 입력으로 하여, 예측을 수행하는데 이때의 데이터는 정수 유출 유량, 정수지 수위, 원수 유입 유량 등을 포함합니다.",착수 공정에서 AI 모델은 어떤 목표 수위를 결정하고 원수 유입 밸브 개도율을 예측하기 위해 활용되나요?,13,1.0,16,9,11262,33
13,0.8240823917712136,efeba260aa17,1,71,none,71,3,0.9577464788732394,4622,"제어 임계치 설정, 채터링 방지 설정, 제어 스텝 설정, 1지 2지 군집 유량 분배 등을 고려합니다.",0,8,8,"['착수', '공정의', '유입', '밸브', '개도', '예측', '알고리즘', '선정', '고려', '사항은', '무엇인가요']",73,llama3:8b-instruct-q4_K_M,0,0,1.0,0.7350427350427351,문서에서 해당 정보를 확인할 수 없습니다.,착수 공정의 유입 밸브 개도 예측 알고리즘 선정 시 고려 사항은 무엇인가요?,12,0.0,8,8,5401,32
13,0.6517452354020388,efeba260aa17,1,73,none,73,0,1.0,3915,‘분석’ 모드에서는 예측값이 실제 SCADA에 적용되지 않습니다.,0,9,8,"['착수', '공정의', 'ai', '운영', '모드', '분석', '모드의', '특징은', '무엇인가요']",74,llama3:8b-instruct-q4_K_M,0,0,1.0,0.25742574257425743,문서에서 해당 정보를 확인할 수 없습니다.,착수 공정의 AI 운영 모드 중 '분석' 모드의 특징은 무엇인가요?,10,0.0,18,8,4696,33
13,0.7325310169287366,efeba260aa17,1,71,none,71,2,0.971830985915493,10400,"원수 알칼리도, pH, 온도, 전기전도도, 탁도 등이 입력변수로 사용됩니다.",0,10,8,"['약품', '공정', 'ai', '모델의', '입력변수로', '사용되는', '원수', '수질', '인자들은', '무엇인가요']",73,llama3:8b-instruct-q4_K_M,0,0,1.0,0.5087719298245614,"문서에 따르면, 약품 공정 AI 모델의 입력변수로 사용되는 원수 수질 인자는 다음과 같습니다.

1. 원수 탁도 (pH)
2. 알칼리도
3. 전기전도도
4. 온도
5. 탁도

이러한 입력변수를 사용하여 AI 모델은 응집제 주입률 예측을 수행합니다.",약품 공정 AI 모델의 입력변수로 사용되는 원수 수질 인자들은 무엇인가요?,9,1.0,15,8,11177,34
